지점,지점명,일시,평균기온(°C),평균최고기온(°C),평균최저기온(°C),최고기온(°C),최저기온(°C),최고기온 나타난날(yyyymmdd),최저기온 나타난날(yyyymmdd),평균현지기압(hPa),평균해면기압(hPa),평균상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),평균운량(1/10),합계 일조시간(hr),최심적설(cm),최심신적설(cm)
98,동두천,2017-05,18.4,26.2,11.7,30.9,6.9,20170503,20170507,998.8,1011.9,55,22.7,1.9,,289.6,,
98,동두천,2017-06,22.2,29.7,16,35.5,10.6,20170623,20170611,995.4,1008.2,59,50.5,1.7,,251.8,,
98,동두천,2017-07,26,30.5,22.9,34.5,20.2,20170706,20170701,994.6,1007.3,81,376.3,1.5,,119.6,,
98,동두천,2017-08,24.5,29.8,20.9,35.9,13.6,20170805,20170830,994.9,1007.6,77,334.6,1.4,,154.4,,
98,동두천,2017-09,20.1,27.2,14.5,30.4,6.8,20170903,20170929,1000.2,1013.2,68,25.3,1.3,,229.5,,
98,동두천,2017-10,14.1,21.7,8.5,27.8,-.9,20171007,20171031,1007.8,1021.3,65,18.5,1.3,,152.9,,
98,동두천,2017-11,4.2,11,-1.4,19.5,-9.2,20171108,20171119,1009.2,1023.2,57,19,1.7,,160.1,,
98,동두천,2017-12,-3.3,2.2,-8.5,9.7,-16.6,20171223,20171213,1011.7,1026.2,58,29.6,1.6,,185.3,.9,
98,동두천,2018-01,-5.4,.8,-10.1,9.8,-20.4,20180117,20180127,1010.2,1024.8,51,7,1.7,,198,,
98,동두천,2018-02,-2.6,4.4,-8.6,11.7,-16.9,20180226,20180207,1009.5,1023.9,45,30.7,1.9,,215,,
98,동두천,2018-03,7.4,14.6,1.9,23.8,-8.4,20180330,20180302,1006.7,1020.9,58,38.7,1.9,,209,,
98,동두천,2018-04,12.4,19.9,6.3,28.7,-1.6,20180420,20180408,1002.3,1016.1,55,125.9,2.1,,215.9,,
98,동두천,2018-05,17.4,24.1,11.4,30.4,5.3,20180526,20180503,998.3,1011.8,65,242.9,1.8,,242.6,,
98,동두천,2018-06,22.1,28.7,16.7,32.2,13.6,20180625,20180616,994.9,1008.1,67,193.6,1.5,,237,,
98,동두천,2018-07,26.3,31.5,22.2,36.2,16,20180724,20180708,996.2,1009.2,75,216.9,1.4,,240.5,,
98,동두천,2018-08,27.2,33.3,23,38.7,17.2,20180801,20180818,994.6,1007.6,72,407.4,1.5,5.8,226.3,,
